VID,Devicetime,lat(API),long(API),lat(RAW),long(RAW),Posisi
202543,7/15/2021 7:19,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 8:26,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:24,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:27,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:35,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:36,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:37,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:38,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:41,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 8:42,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 9:13,0,0,-6.139539,106.7024775,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 8:46,0,0,-6.1938129,106.7334792,Meruya Utara - Kembangan - Jakarta Barat
202543,7/15/2021 9:31,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:32,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:33,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:34,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:35,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:36,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:37,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:38,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:39,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:40,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:41,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:42,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:43,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:44,0,0,-6.1320604,106.7046268,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 10:22,0,0,-6.15553,106.7498082,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 9:45,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:46,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 10:07,0,0,-6.1425843,106.7027156,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:47,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:48,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:49,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:50,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:51,0,0,-6.1322244,106.704981,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:54,0,0,-6.1321244,106.7048755,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 10:21,0,0,-6.15553,106.7498082,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 9:55,0,0,-6.1321244,106.7048755,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 9:56,0,0,-6.1321244,106.7048755,Pegadungan - Kalideres - Kalideres
202543,7/15/2021 10:23,0,0,-6.15553,106.7498082,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 10:24,0,0,-6.1582852,106.7615781,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 10:25,0,0,-6.1582852,106.7615781,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 10:27,0,0,-6.1574489,106.7674833,Kedaung Kali Angke - Cengkareng - Jakarta Barat
202543,7/15/2021 10:29,0,0,-6.1588351,106.7688387,Kedoya Utara - Kebon Jeruk - Kebon Jeruk
202543,7/15/2021 10:39,0,0,-6.1640372,106.8109581,Petojo Utara - Gambir - Jakarta Pusat
