VID,"2021-07-26 10:19:50","2021-07-26 10:19:53.404","Api null","Api null","Api null","CPU Reset"
201233,"2021-07-14 11:01:32","2021-07-14 11:01:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-14 11:01:41","Battery Power Low (66,5333)"
201234,"2021-07-26 10:37:09","2021-07-26 10:37:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:28",Update
201236,"2021-07-25 16:24:33","2021-07-25 16:24:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-25 16:24:52","Battery Power Low (66,2979)"
201237,"2021-07-26 10:38:01","2021-07-26 10:38:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:09",Update
201238,"2021-07-26 10:38:58","2021-07-26 10:39:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:18",Update
201239,"2021-07-26 10:38:55","2021-07-26 10:38:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:16",Update
201240,"2021-07-12 19:30:47","2021-07-12 19:30:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-12 19:31:02","CPU Reset"
201241,"2021-07-15 01:24:08","2021-07-15 01:24:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-15 01:24:27","Battery Power Low (66,5154)"
201242,"2021-07-26 10:39:53","2021-07-26 10:39:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:10",Update
201243,"2021-07-26 10:40:00","2021-07-26 10:40:03",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:11",Update
201244,"2021-07-26 10:39:39","2021-07-26 10:39:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:59",Update
201245,"2021-07-26 10:39:52","2021-07-26 10:39:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:08",Update
201246,"2021-07-26 10:39:33","2021-07-26 10:39:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:47",Update
201247,"2021-07-26 10:39:39","2021-07-26 10:39:42",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:39:49",Update
201248,"2021-07-26 10:39:58","2021-07-26 10:40:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:11",Update
201249,"2021-07-19 22:29:05","2021-07-19 22:29:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 22:29:22","Battery Power Low (66,0)"
201251,"2021-07-19 17:09:45","2021-07-19 17:09:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-19 17:10:04","Battery Power Low (66,0)"
201252,"2021-07-05 03:37:24","2021-07-05 03:37:28.362","Api null","Api null","Api null","Battery Power Low (66,5407) (api null)"
201253,"2021-07-26 10:40:43","2021-07-26 10:40:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:04",Update
201254,"2021-07-26 10:40:40","2021-07-26 10:40:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:03",Update
201256,"2021-07-15 18:13:19","2021-07-15 18:13:22",200,"{""data_failed"":[],""message"":""Success""}","2021-07-15 18:13:29","Battery Power Low (66,5029)"
201258,"2021-07-26 10:40:31","2021-07-26 10:40:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:01",Update
201260,"2021-07-26 10:41:09","2021-07-26 10:41:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:23",Update
201261,"2021-07-26 10:36:23","2021-07-26 10:36:40",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:37:00",Update
201263,"2021-07-26 10:40:25","2021-07-26 10:40:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:58",Update
201264,"2021-07-26 10:40:10","2021-07-26 10:40:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:40:33",Update
201265,"2021-07-26 10:41:06","2021-07-26 10:41:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:27",Update
201266,"2021-07-26 10:40:43","2021-07-26 10:40:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:10",Update
201267,"2021-07-26 10:40:54","2021-07-26 10:41:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:20",Update
201268,"2021-07-21 22:07:40","2021-07-21 22:07:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 22:08:01","Battery Power Low (,0)"
201269,"2021-07-26 10:40:45","2021-07-26 10:40:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:11",Update
201270,"2021-07-26 10:41:08","2021-07-26 10:41:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:41",Update
201271,"2021-07-17 12:51:45","2021-07-17 12:51:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 12:51:58","CPU Reset"
201272,"2021-07-26 10:41:08","2021-07-26 10:41:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:33",Update
202001,"2021-07-26 10:41:15","2021-07-26 10:41:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:37",Update
202002,"2021-07-26 10:41:35","2021-07-26 10:41:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:53",Update
202003,"2021-07-26 10:41:45","2021-07-26 10:41:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:42:04",Update
202004,"2021-07-26 10:41:21","2021-07-26 10:41:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:43",Update
202005,"2021-07-26 10:41:36","2021-07-26 10:41:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:53",Update
202006,"2021-07-26 10:41:09","2021-07-26 10:41:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:37",Update
202007,"2021-07-26 10:41:08","2021-07-26 10:41:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:34",Update
202009,"2021-07-26 10:24:55","2021-07-26 10:24:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:25:10",Update
202010,"2021-07-26 10:41:29","2021-07-26 10:41:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:41:45",Update
