"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
201171,B-9527-CXR,0,1336,0%
201172,B-9531-CXR,0,1350,0%
201174,W-8574-UT,0,1240,0%
201175,W-9578-US,0,0,0%
201176,W-8571-UT,0,0,0%
201177,W-9577-US,1,890,0.11%
201178,B-9040-CEU,0,1332,0%
201179,B-9041-CEU,0,1339,0%
201180,B-9042-CEU,0,1331,0%
201181,B-9037-CEU,59,1412,4.18%
201182,B-9031-CEU,0,1341,0%
201183,B-9609-CXR,0,0,0%
201184,"B-9032-CEU ",0,1360,0%
201185,B-9051-CEU,0,1381,0%
201186,W-9836-US,0,0,0%
201188,B-9655-CXR,0,1392,0%
201190,W-9838-US,0,1345,0%
201191,B-9658-CXR,0,1325,0%
201192,B-9036-CEU,0,703,0%
201193,B-9039-CEU,0,0,0%
201194,B-9659-CXR,0,1347,0%
201195,W-9875-US,0,1340,0%
201196,W-9876-US,0,1348,0%
201197,B-9038-CEU,0,1328,0%
201198,B-9661-CXR,0,1402,0%
201199,B-9656-CXR,0,1329,0%
201200,L-8105-UE,0,1344,0%
201201,W-9834-US,0,0,0%
201202,B-9660-CXR,141,1359,10.38%
201204,B-9677-CXR,0,1369,0%
201205,B-9298-CXR,0,1423,0%
201206,B-9675-CXR,0,1343,0%
201207,B-9676-CXR,1,1378,0.07%
201208,W-8945-UQ,0,0,0%
201209,L-9811-UA,0,1360,0%
201210,W-8573-UT,0,0,0%
201212,W-9942-US,0,1340,0%
201214,W-9984-US,75,1392,5.39%
201215,W-9877-US,0,1346,0%
201216,W-9579-US,0,0,0%
201218,L-9303-UF,0,1390,0%
201219,B-9522-CXR,0,1426,0%
201220,W-8940-UQ,0,529,0%
201221,B-9304-CXR,0,0,0%
201222,W-8057-UN,0,290,0%
201223,W-8681-U,0,1384,0%
201224,L-9401-UB,0,1367,0%
201225,B-9380-CU,0,1341,0%
201226,L-9897-UA,0,1446,0%
201228,W-9236-UQ,0,0,0%
201229,B-9077-CEU,0,1353,0%
201230,L-9055-UB,0,1451,0%
201231,W-8070-UN,1,1349,0.07%
201232,B-9074-CEU,0,0,0%
201233,W-9580-US,0,0,0%
201234,B-9150-CEU,0,1367,0%
201235,B-9378-CU,0,1330,0%
201236,B-9072-CEU,0,1337,0%
201237,B-9075-CEU,0,1347,0%
201238,W-8066-UN,0,1459,0%
201239,W-8823-UT,0,689,0%
201240,W-8572-UT,0,0,0%
201241,B-9318-CXR,0,0,0%
201242,W-9038-U,0,1341,0%
201243,W-8754-UT,0,1340,0%
201244,B-9307-CXR,0,1378,0%
201245,B-9073-CEU,0,1360,0%
201246,W-8575-UT,0,1332,0%
201247,B-9070-CEH,0,1337,0%
201248,B-9071-CEH,0,1333,0%
201249,W-8756-UT,0,0,0%
